00:59:00 used=4 free=116 avail=182 rss_py= 9096
00:59:15 used=78 free=42 avail=108 rss_py=139496208
00:59:30 used=111 free=9 avail=74 rss_py=105162268
00:59:45 used=108 free=11 avail=78 rss_py=104774020
01:00:00 used=104 free=13 avail=81 rss_py=105482896
01:00:15 used=104 free=13 avail=82 rss_py=104783196
01:00:30 used=112 free=5 avail=74 rss_py=104850272
01:00:45 used=112 free=5 avail=74 rss_py=104917600
01:01:00 used=106 free=10 avail=80 rss_py=104984800
01:01:15 used=104 free=11 avail=82 rss_py=105052260
01:01:30 used=104 free=10 avail=82 rss_py=105175144
01:01:45 used=103 free=11 avail=83 rss_py=105240680
01:02:00 used=103 free=11 avail=83 rss_py=105306344
01:02:15 used=102 free=12 avail=83 rss_py=105373032
01:02:30 used=102 free=12 avail=84 rss_py=105439724
01:02:45 used=102 free=12 avail=84 rss_py=105506796
01:03:00 used=102 free=12 avail=84 rss_py=105573488
01:03:15 used=102 free=12 avail=84 rss_py=105641072
01:03:30 used=102 free=12 avail=84 rss_py=105764972
01:03:45 used=102 free=12 avail=84 rss_py=105830512
01:04:00 used=102 free=12 avail=84 rss_py=105887856
01:04:15 used=102 free=12 avail=84 rss_py=105953908
01:04:30 used=102 free=12 avail=84 rss_py=106005104
01:04:45 used=102 free=12 avail=84 rss_py=106072180
01:05:00 used=102 free=12 avail=83 rss_py=106139764
01:05:15 used=102 free=12 avail=83 rss_py=106207348
01:05:30 used=102 free=12 avail=83 rss_py=106330228
01:05:45 used=103 free=11 avail=83 rss_py=106395764
01:06:00 used=103 free=11 avail=83 rss_py=106461948
01:06:15 used=103 free=11 avail=83 rss_py=106528636
01:06:30 used=103 free=11 avail=83 rss_py=106595836
01:06:45 used=103 free=11 avail=83 rss_py=106663164
01:07:00 used=103 free=11 avail=83 rss_py=106730236
01:07:15 used=103 free=11 avail=83 rss_py=106796924
01:07:30 used=103 free=11 avail=83 rss_py=106920060
01:07:45 used=103 free=11 avail=83 rss_py=106985596
01:08:00 used=103 free=11 avail=83 rss_py=107051132
01:08:15 used=103 free=11 avail=83 rss_py=107118084
01:08:30 used=103 free=11 avail=82 rss_py=107184768
01:08:45 used=103 free=11 avail=82 rss_py=107251332
01:09:00 used=103 free=11 avail=82 rss_py=107318404
01:09:15 used=104 free=10 avail=82 rss_py=107385348
01:09:30 used=104 free=10 avail=82 rss_py=107443592
01:09:45 used=104 free=10 avail=82 rss_py=107559044
01:10:00 used=104 free=10 avail=82 rss_py=107624580
01:10:15 used=104 free=10 avail=82 rss_py=107690120
01:10:31 used=104 free=10 avail=82 rss_py=107756808
01:10:46 used=104 free=10 avail=82 rss_py=107823244
01:11:01 used=104 free=10 avail=82 rss_py=107890312
01:11:16 used=104 free=10 avail=82 rss_py=107956876
01:11:31 used=104 free=10 avail=82 rss_py=108024080
01:11:46 used=104 free=10 avail=82 rss_py=108090640
01:12:01 used=104 free=10 avail=82 rss_py=108206220
01:12:16 used=104 free=10 avail=81 rss_py=108271756
01:12:31 used=104 free=10 avail=81 rss_py=108337296
01:12:46 used=104 free=10 avail=81 rss_py=108402832
01:13:01 used=104 free=9 avail=81 rss_py=108468756
01:13:16 used=105 free=9 avail=81 rss_py=108535188
01:13:31 used=105 free=9 avail=81 rss_py=108602388
01:13:46 used=105 free=9 avail=81 rss_py=108669592
01:14:01 used=105 free=9 avail=81 rss_py=108736916
01:14:16 used=105 free=9 avail=81 rss_py=108795412
01:14:31 used=105 free=9 avail=81 rss_py=108894356
01:14:46 used=105 free=9 avail=81 rss_py=108959896
01:15:01 used=105 free=9 avail=81 rss_py=109025432
01:15:16 used=105 free=9 avail=81 rss_py=109091100
01:15:31 used=105 free=9 avail=81 rss_py=109158300
01:15:46 used=105 free=9 avail=81 rss_py=109225372
01:16:01 used=105 free=9 avail=80 rss_py=109292060
01:16:16 used=105 free=9 avail=80 rss_py=109359004
01:16:31 used=105 free=8 avail=80 rss_py=109426204
01:16:46 used=106 free=8 avail=80 rss_py=109549724
01:17:01 used=106 free=8 avail=80 rss_py=109615264
01:17:16 used=106 free=8 avail=80 rss_py=109680800
01:17:31 used=106 free=8 avail=80 rss_py=109739040
01:17:46 used=106 free=8 avail=80 rss_py=109805988
01:18:01 used=106 free=8 avail=80 rss_py=109872932
01:18:16 used=106 free=8 avail=80 rss_py=109939364
01:18:31 used=106 free=8 avail=80 rss_py=109998116
01:18:46 used=106 free=8 avail=80 rss_py=110064808
01:19:01 used=106 free=8 avail=80 rss_py=110180516
01:19:16 used=106 free=8 avail=80 rss_py=110246056
01:19:31 used=106 free=8 avail=79 rss_py=110311592
01:19:46 used=106 free=8 avail=79 rss_py=110377260
01:20:01 used=106 free=8 avail=79 rss_py=110443948
01:20:16 used=106 free=7 avail=79 rss_py=110510764
01:20:31 used=107 free=7 avail=79 rss_py=110577708
01:20:46 used=107 free=7 avail=79 rss_py=110644656
01:21:01 used=107 free=7 avail=79 rss_py=110711596
01:21:16 used=107 free=7 avail=79 rss_py=110778416
01:21:31 used=107 free=7 avail=79 rss_py=110901424
01:21:46 used=107 free=7 avail=79 rss_py=110958776
01:22:01 used=107 free=7 avail=79 rss_py=110962392
01:22:16 used=108 free=6 avail=78 rss_py=111735032
01:22:31 used=108 free=6 avail=78 rss_py=111473124
01:22:46 used=108 free=6 avail=78 rss_py=111541900
01:23:01 used=108 free=6 avail=78 rss_py=111198608
01:23:16 used=110 free=4 avail=75 rss_py=111452384
